fund,service,access_point,scope_items,tariff_pairs,block_tariff,rules_items,rules_block,mapping_type,tariff_raw,access_rules_raw
SOCIAL HEALTH INSURANCE FUND,OUT PATIENT CARE SERVICES,,"['Management of acute and chronic conditions for end emic / local cases', 'Man age men tofNCDs, enteric infections; neglectedtropical diseases ( NTDs ), STI ’ sand HIV / AIDS', 'Screening for common health conditions', 'Minor surgical procedures and medical procedures', 'Immuniz atio nas per the KEPI schedule and recomm ended special vaccines', 'Reproductive, Maternal and Child Health Services as defined by the MOH guide lines']",[],,"[[], [], [], [], [], []]",[],block,will be offered at no cost to the patient.,
SOCIAL HEALTH INSURANCE FUND,MEDICAL INPATIENT SERVICES,Level 4 - 6,"['Inpatient services shall include management of disease / condition while admitted.', 'Pre- admission evaluation', 'Hospital accommodation charges, meals and nursing care in general ward bed', 'Int ra- admission consultation and review sbyboth general and special ist consultants, Laboratory investigations, medical imaging, procedures, and medication', 'Bed side services including physio the rapy, occupational therapy, oxygen supply, medical consumables, and the rape utic nutritional support.', 'Cross- match ing and administration of blood and blood products; derivatives and components, artificial blood products, and biological serum.', 'Post - dis charge med icatio nor follow - up within the treatment plan.']","[{'label': 'Level', 'amount': 4.0}, {'label': 'Level', 'amount': 5.0}, {'label': 'Level', 'amount': 6.0}]",3.0,"[[], [], [], [], [], [], []]","['Limit: Up to 50 days per Household', 'Days above that charged to ECCIF']",itemized,"➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem",➢ Limit: Up to 50 days per Household ➢ Days above that charged to ECCIF
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4 - 6,"['Delivery by ways of normal delivery, assisted delivery and caesarean section as necessitated.', 'After care for the mother together with the newborn.', 'Midwifery, including episio tomy care and nursing care.', 'Operating, recovery, maternity ward and other treatment room charges including meals and special diets.', 'Immunization for the newborn.', 'Intra- admission and post- discharge medication.', 'Diagnostic laboratory tests.', 'Admin ist rat ionof blood and blood products; derivatives and components, artificial blood products, and biological serum.', 'Medical supplies and equipment, including oxygen.', 'Post natal family plan ning.', 'Man age mentof post partum infections and haemorrhage, birth traumas and conditions related to child birth.', 'Man age mentof neonatal conditions.', 'Obste tric and neonatal complications including int ra- admission post par tum / post natal infections and haemorrhage, birth traumas and conditions related to child birth.']","[{'label': 'Normal Delivery and essential newborn care – .', 'amount': 11.0}, {'label': 'Caesarean Section and essential newborn care – .', 'amount': 32.0}]",11.0,"[['Normal delivery - maximum stay of 48 hours'], [], [], [], [], [], [], [], [], [], [], [], []]","['C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate )', 'SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.', 'In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.']",itemized,"➢ Normal Delivery and essential newborn care – KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ) ➢ SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Level 4 - 6,"['The management of kidney failure due tochro nic disease ora cute injuries / diseases through dialysis including:', ""Consultation and special ist's review."", 'Cost ofthe temp ora ryca the ter and insertion / removal.', 'Nursing care and dialysis services.', 'Routine laboratory investigations.', 'Dis pen sat ionof medication and main ten ance drug, counselling and follow - up.', 'Continuous inter mittent dialysis and other dialysis protocols.']","[{'label': 'Hemo dialysis & Hemodiafiltration .', 'amount': 10.0}, {'label': 'Per ito neal dialysis – .', 'amount': 180.0}]",10.0,"[[], [], [], ['Access iblein Level IV-VI facilities with dialysis centres and access to an ambulance and ICU services within 10 km radius.'], [], [], []]","['Maximum of 3 sessions per week for haemo dialysis.', 'Maximum of 2 sessions per week for hemodiafiltration.', 'Maximum of 12 sessions annually for per ito neal dialysis.', 'Payments will be made from the SHIF and ECCIF Funds.']",itemized,"➢ Hemo dialysis & Hemodiafiltration KES. 10, 650 per session ➢ Per ito neal dialysis – KES. 180, 000 per month ➢ PPM: Case Based",➢ Maximum of 3 sessions per week for haemo dialysis. ➢ Maximum of 2 sessions per week for hemodiafiltration. ➢ Maximum of 12 sessions annually for per ito neal dialysis. ➢ Payments will be made from the SHIF and ECCIF Funds. ➢ Access iblein Level IV-VI facilities with dialysis centres and access to an ambulance and ICU services within 10 km radius.
SOCIAL HEALTH INSURANCE FUND,MENTAL WELLLNESS BENEFIT PACKAGE,Level 3 - 6,"['The mental health services cover caters for;', 'Mental Health education and counselling.', 'Screening, management and referral for behavioral disorders, neuro- develop mental disorders, affective and psycho act ive disorders.', 'Rehabilitation for substance related addictive disorders.']","[{'label': '.', 'amount': 1.0}, {'label': 'Level', 'amount': 4.0}, {'label': 'Level', 'amount': 5.0}, {'label': 'Level', 'amount': 6.0}, {'label': 'Detoxification – .', 'amount': 14.0}, {'label': 'Rehabilitation – .', 'amount': 125.0}]",1.0,"[['Mental illness services will be assessed through the SHIF and ECCI funds.'], [], [], ['Adm iss ions for rehabilitation for drugs and substance abuse shall be pre- authorized.']]","['Max. 7 out patient visits', 'Toac cess the benefits, individuals must be paid-up SHA members', 'Diagnosis and man age mentof behavioral disorders ( inpatient ) shall have limit of up to 35 days.', 'For beneficiaries whodo not complete the three - st age program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to maximum of 10 days.']",itemized,"Out patient Services ➢ KES. 1, 200 per visit ➢ PPM: Fee for service – Fixed rate Inpatient Services ➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem Rehabilitation for DSA ➢ Detoxification – KES. 14, 000 ➢ Rehabilitation – KES. 125, 000 ➢ PPM: Case based","➢ Max. 7 out patient visits ➢ Toac cess the benefits, individuals must be paid-up SHA members ➢ Mental illness services will be assessed through the SHIF and ECCI funds. ➢ Diagnosis and man age mentof behavioral disorders ( inpatient ) shall have limit of up to 35 days. ➢ Adm iss ions for rehabilitation for drugs and substance abuse shall be pre- authorized. ➢ For beneficiaries whodo not complete the three - st age program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to maximum of 10 days."
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,"➢ Level 3 - 6 ➢ Select ive procurement for Cardiology, Cardiothoracic and vascular, Urology, and Transplant surgeries","['The Surgical Package covers the below list of surgical and non- surgical procedures:', 'Pre- operative admission and care.', 'Minor, major and special ized surgical procedures including organ transplants and implants.', 'Administration of blood and blood products; derivatives and']",[],,"[[], [], [], []]","['Minor surgical procedures per for med at Level 2 & 3 facilities will be funded from the PHC fund.', 'Emergency surgical pro ceduresto stab ilize trauma and poly trauma patients with head, cardiac, pulmonary, and critical limb injuries within 24 hours will be covered under']",block,PPM: Fee for Service – Fixed rate Schedule of tariffs annexed.,"➢ Minor surgical procedures per for med at Level 2 & 3 facilities will be funded from the PHC fund. ➢ Emergency surgical pro ceduresto stab ilize trauma and poly trauma patients with head, cardiac, pulmonary, and critical limb injuries within 24 hours will be covered under"
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,"the Accident and Emergency Package in the ECCIF fund. ➢ Palliative surgery shall be paid under ECCIF. ➢ Major and special ized surgical procedures will be provided at Level 4 - 6 facilities with at least 2 operating the atres. ➢ Procurement of eligible minor, major and special ized procedures from single specialty providers. ➢ Access to specific major and special ized procedures will be limited to facilities with appropriate installed equipment, affiliated surgical and anes the sia per son nel. ➢ Co-payment allowed for laser and laparoscopic surgeries.","['components, artificial blood products, and biological serum.', 'Management of int rao per ative complications and complications follow ing the surgical procedure.', 'All additional medical or surgical service required during the post operative period because of complications that do not require additional trips to the operating room.', 'Post operative visits - follow - up visits during the post operative period that are related to recovery.', 'Post - pro cedure pain management.', 'Post - op era tive ward physio the rapy.', 'Supplies - except for those identified as exclusions.', 'Mis cell aneous services - items such as dressing changes; local incisional care; removal of the operative pack; removal of cutaneous sutures and staples, lines, wires, tubes, drains, casts, and splints; insertion, irrigation and removal of urinary catheters, routine per ipheral intravenous lines, nasogastric and rectal tubes; and changes and removal of tracheostomy tubes.', 'Critical care services related to the surgical procedure but within the same case definition.', 'Diagnostic tests and procedure, including diagnostic radiological procedures related to the surgery.', 'Immunosuppressive therapy for organ transplants.']",[],,"[[], [], [], [], [], [], [], [], [], [], []]",[],block,,
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4 - 6,"['Oncology services shall entail screening and treatment ofc anc ers including breast, pro state, colo rectal, cervical cancer, and child hood cancers.', 'Administration of Chemo the rapy, Radio the rapy, Brachy the rapy and Radio surgery', 'Consumables, stoma appliances, premeds, and post meds', 'Chemo the rapy pump', 'Routine and special ized laboratory investigations', 'Screening, cross- match ing and administration of blood and blood products; derivatives and components, artificial blood products, and biological serum', 'Treatment plan ning', 'Radioiodine therapy', 'Radiological services where necessary as part of oncological treatment plan ning', 'Management through surgical interventions', 'Management of pre- cancer conditions']","[{'label': 'Chemo administration – .', 'amount': 5.0}, {'label': 'PET Scan – .', 'amount': 53.0}, {'label': 'PSMA PET Scan – .', 'amount': 64.0}, {'label': 'CT-Scan – .', 'amount': 9.0}, {'label': 'MRI – .', 'amount': 11.0}, {'label': 'Bone scan – .', 'amount': 15.0}, {'label': 'Radionuclide scan – .', 'amount': 11.0}, {'label': 'Brachy the rapy – up to .', 'amount': 40.0}, {'label': 'SBRT / SBRS – up to .', 'amount': 70.0}, {'label': 'Radio the rapy – up to .', 'amount': 3.0}]",5.0,"[[], [], [], [], [], [], [], [], [], [], []]","['Diagnosis & staging - Limit of KES. 100, 000', '1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF', '2 nd Line treatment – KES. 650, 000 from ECCIF']",itemized,"➢ Chemo administration – KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachy the rapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radio the rapy – up to KES. 3, 600 per session","➢ Diagnosis & staging - Limit of KES. 100, 000 ➢ 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢ 2 nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.","['Covers Pre scri bed special ized imaging services including.', 'MRI', 'CT scans', 'CT Angio', 'Fluoroscopy', 'Mammography', 'Special ized ultrasounds ( Dopplers )', 'Echo car diog rams ( ECHO )', 'Electroencephalograms ( EEGs ) and', 'Review ing and inter pre ting radiological images giving the diagnostic opinion and pro vid ing the refer ring physic ian witha detail edreportof the imaging findings for treatment plan ning.']","[{'label': 'MRI –', 'amount': 11.0}, {'label': 'CT scans –', 'amount': 9.0}, {'label': 'CT Angio –', 'amount': 8.0}, {'label': 'Fluoroscopy –', 'amount': 4.0}, {'label': 'Mammography –', 'amount': 3.0}, {'label': 'Special ized ultrasounds ( Dopplers ) –', 'amount': 5.0}, {'label': 'Echo car diog rams ( ECHO ) –', 'amount': 3.0}, {'label': 'Electroencephalograms ( EEGs ) –', 'amount': 5.0}]",11.0,"[[], [], ['CT scans and CT Angio – 2 images per household.'], [], [], [], [], [], [], []]","['MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).', 'Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.', 'Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses']",itemized,"➢ MRI – KES 11, 000 ➢ CT scans – KES 9, 600 ➢ CT Angio – KES 8, 000 ➢ Fluoroscopy – KES 4, 000 ➢ Mammography – KES 3, 000 ➢ Special ized ultrasounds ( Dopplers ) – KES 5, 000 ➢ Echo car diog rams ( ECHO ) – KES 3, 500 ➢ Electroencephalograms ( EEGs ) – KES 5, 000 for child and KES 8, 000 for adult.","➢ MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases. ➢ CT scans and CT Angio – 2 images per household. ➢ Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ). ➢ Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities. ➢ Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses"
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,,[],[],,[],"['(.. cysticorsolid ), detectionof for eign bodies, / S-guidedbiopsy and injections, Bone / joint evaluation pre- ossifi cat ion (.. DDHinearly months ), doppler for venous and art erial diseases, scro tal masses, priapism, and testicular torsion.', 'ECHO at 2 per household per year: Car otids ten osis, Pulmonary embolism, Kawa saki disease, Hypertension in child ren, Congestive heart failure, Congenital heart disease, Spina bifida, Acute Ischemic stroke, Infective end ocardi tis, Hodgkin ’ lymphoma, Sickle cell disease, Acute per icardi tis, Valvular heart disease.', 'Radiology benefits are tobe purchased where the ser viceis avail able and on need basis.', 'All radiology services are to be pre- authorized.']",block,,"(.. cysticorsolid ), detectionof for eign bodies, / S-guidedbiopsy and injections, Bone / joint evaluation pre- ossifi cat ion (.. DDHinearly months ), doppler for venous and art erial diseases, scro tal masses, priapism, and testicular torsion. ➢ ECHO at 2 per household per year: Car otids ten osis, Pulmonary embolism, Kawa saki disease, Hypertension in child ren, Congestive heart failure, Congenital heart disease, Spina bifida, Acute Ischemic stroke, Infective end ocardi tis, Hodgkin ’ lymphoma, Sickle cell disease, Acute per icardi tis, Valvular heart disease. ➢ Radiology benefits are tobe purchased where the ser viceis avail able and on need basis. ➢ All radiology services are to be pre- authorized."
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,➢ All public facility pharmacies ➢ All faith- based facility pharmacies ➢ Comm unit ypharma cies ind ividu all yorthrougha pharmacy benefits manager,"['Medicines for select chronic conditions:', 'Diabetes type 1 & 2,', 'Hypertension,', 'Asthma,', 'Chronic renal dis easeon dialysis', 'Post transplant immunosuppressants', 'Chronic obst ruct ive pulmonary disease,', 'Sickle cell', 'Oncology medicines', 'Anti-D', 'Anti Snake Venom', 'Anti Rabies', 'Mental Health long- acting medicines', 'Epilepsy SPECIAL IZED LABORATORY SERVICE']",[],,"[[], [], [], [], [], [], [], [], [], [], [], [], [], []]","['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block,➢ PPM- Fee for service,"➢ Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry"
SOCIAL HEALTH INSURANCE FUND,PHARMACY PACKAGE,"➢ ClassC, DandE public facility, faith based, and contracted indep end ent Class, and laboratories","['Special ized testing as captured in the essential laboratory lists and WHO lists for the chronic conditions:', 'Diabetes type 1 & 2,', 'Hypertension,', 'Asthma', 'Chronic renal dis easeon dialysis', 'Post transplant immuno sup press ion', 'Chronic obst ruct ive pulmonary disease', 'Sickle cell', 'Oncology medicines', 'Anti-D', 'Anti Snake Venom', 'Anti Rabies', 'Mental Health long- acting medicines', 'Epilepsy']",[],,"[[], [], [], [], [], [], [], [], [], [], [], [], [], []]","['Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry']",block,➢ PPM- Fee for service,"➢ Quarterly limit of 5, 000 per person as cap ture din the chronic disease registry"
SOCIAL HEALTH INSURANCE FUND,END OF LIFE SERVICES,Level 4 - 6,['Preparation and storage of the body in mortuary'],"[{'label': '', 'amount': 500.0}]",500.0,[[]],['Limit up to 5 days'],block,➢ KES 500 per day ➢ PPM: Per Diem,➢ Limit up to 5 days
"EMERGENCY, CHRONIC AND CRITICAL ILLNESS FUND",AMBULANCE EVACUATION SERVICES,Man age mentof all transfers / evacuation sthro ugha National Ambulance Call Centre,['Evacuation from the pointof the incident to the nearest facility with an & center and the transfer of patients requiring emergency and further clinical care from the facility.'],"[{'label': 'PPM: Fee - for- service- fixed rate', 'amount': 25.0}, {'label': 'Acost per kmta riff for services beyond', 'amount': 25.0}]",4.0,[[]],"['Access ible by all Kenyans', 'Pro cure mentof the ground evacuation services, as an outsourced service to provider / consortium of providers able to meet the criteria set for at least one region.']",itemized,"➢ PPM: Fee - for- service- fixed rate- 25 kmradius-upto KES 4, 500 ( Intra-metro ). ➢ Acost per kmta riff for services beyond 25 km, KES 75 per km ( Extra-metro )","➢ Access ible by all Kenyans ➢ Pro cure mentof the ground evacuation services, as an outsourced service to provider / consortium of providers able to meet the criteria set for at least one region."
